id,accuracy,precision,recall,f1_score,f1_macro,true_positives,false_positives,true_negatives,false_negatives,runtime,max_depth,min_child_weight,learning_rate,n_estimators,proportion
30,0.4375478927203065,0.4265536723163842,0.221407624633431,0.2915057915057915,0.4125889821569617,151,203,420,531,15.095398187637327,10,3,0.1,300,0.1
31,0.3969348659003831,0.3364485981308411,0.158357771260997,0.2153539381854436,0.3628107587629147,108,213,410,574,11.394441604614258,10,3,0.01,100,0.1
32,0.4505747126436781,0.4480712166172106,0.221407624633431,0.2963689892051031,0.4228545134586169,151,186,437,531,27.7030885219574,10,3,0.01,300,0.1
33,0.502970297029703,0.2685050798258345,0.2700729927007299,0.2692867540029112,0.4463463027328884,185,504,831,500,2.4029040336608887,2,1,0.1,100,0.2
34,0.5391089108910891,0.3090062111801242,0.2905109489051095,0.2994732881866065,0.4780287872139229,199,445,890,486,5.40293288230896,2,1,0.1,300,0.2
35,0.5044554455445545,0.250788643533123,0.2321167883211679,0.2410917361637604,0.4366061400407188,159,475,860,526,3.1754631996154785,2,1,0.01,100,0.2
36,0.5668316831683168,0.3303571428571428,0.2700729927007299,0.2971887550200803,0.4920648605154069,185,375,960,500,5.928176403045654,2,1,0.01,300,0.2
37,0.502970297029703,0.2671532846715328,0.2671532846715328,0.2671532846715328,0.4455616610623581,183,502,833,502,2.600880622863769,2,3,0.1,100,0.2
38,0.5391089108910891,0.2996742671009772,0.2686131386861314,0.2832948421862972,0.4718188913594747,184,430,905,501,4.762691259384155,2,3,0.1,300,0.2
39,0.5044554455445545,0.250788643533123,0.2321167883211679,0.2410917361637604,0.4366061400407188,159,475,860,526,2.4883618354797363,2,3,0.01,100,0.2
40,0.4915841584158416,0.2571022727272727,0.2642335766423357,0.2606191504679625,0.436609084852993,181,523,812,504,4.3939409255981445,2,3,0.01,300,0.2
41,0.5222772277227723,0.2859327217125382,0.272992700729927,0.2793129200896191,0.4610189183935692,187,467,868,498,3.499955415725708,4,1,0.1,100,0.2
42,0.5702970297029702,0.3144016227180527,0.2262773722627737,0.2631578947368421,0.4799367391224392,155,338,997,530,9.594377994537354,4,1,0.1,300,0.2
43,0.500990099009901,0.2578710644677661,0.2510948905109489,0.2544378698224852,0.4397189349112426,172,495,840,513,4.006229877471924,4,1,0.01,100,0.2
44,0.4856435643564356,0.2588555858310626,0.2773722627737226,0.2677942212825933,0.4356903193402666,190,544,791,495,9.932655334472656,4,1,0.01,300,0.2
45,0.551980198019802,0.3007246376811594,0.2423357664233576,0.2683912691996766,0.4727614569330527,166,386,949,519,3.3717360496521,4,3,0.1,100,0.2
46,0.5846534653465346,0.3428571428571428,0.2452554744525547,0.2859574468085107,0.4965563848353199,168,322,1013,517,8.226988315582275,4,3,0.1,300,0.2
47,0.501980198019802,0.2650073206442166,0.2642335766423357,0.2646198830409356,0.4440614385264558,181,502,833,504,3.933329343795776,4,3,0.01,100,0.2
48,0.4841584158415841,0.2571428571428571,0.2759124087591241,0.2661971830985916,0.4342436297172347,189,546,789,496,8.399417400360107,4,3,0.01,300,0.2
49,0.5628712871287128,0.324468085106383,0.2671532846715328,0.2930344275420336,0.4883301840325718,183,381,954,502,5.426504135131836,6,1,0.1,100,0.2
50,0.5707920792079207,0.3345454545454545,0.2686131386861314,0.2979757085020243,0.4944423997055576,184,366,969,501,12.4730064868927,6,1,0.1,300,0.2
51,0.5128712871287129,0.2537067545304777,0.2248175182481751,0.2383900928792569,0.4401557451295848,154,453,882,531,8.497624397277832,6,1,0.01,100,0.2
52,0.4876237623762376,0.2569444444444444,0.2700729927007299,0.2633451957295374,0.4352779109577478,185,535,800,500,16.347911596298218,6,1,0.01,300,0.2
53,0.5440594059405941,0.3033333333333333,0.2656934306569343,0.2832684824902723,0.4744836060364247,182,418,917,503,5.594653129577637,6,3,0.1,100,0.2
54,0.5683168316831683,0.324577861163227,0.2525547445255474,0.2840722495894909,0.4875357704361346,173,360,975,512,12.35712432861328,6,3,0.1,300,0.2
55,0.5202970297029703,0.2560137457044673,0.2175182481751824,0.2352012628255722,0.4428801121196018,149,433,902,536,6.973747491836548,6,3,0.01,100,0.2
56,0.4995049504950495,0.263768115942029,0.2656934306569343,0.2647272727272727,0.4426825857069759,182,508,827,503,13.429218530654907,6,3,0.01,300,0.2
57,0.5480198019801981,0.3034482758620689,0.2569343065693431,0.2782608695652174,0.4746259302781042,176,404,931,509,9.340115070343018,10,1,0.1,100,0.2
58,0.553960396039604,0.3091872791519434,0.2554744525547445,0.2797761790567546,0.4783606603422891,175,391,944,510,16.44533348083496,10,1,0.1,300,0.2
59,0.5074257425742574,0.2531847133757962,0.2321167883211679,0.2421934501142422,0.4386618148994386,159,469,866,526,16.01688051223755,10,1,0.01,100,0.2
60,0.5188118811881188,0.2788906009244992,0.2642335766423357,0.2713643178410795,0.4560812720025796,181,468,867,504,34.87787699699402,10,1,0.01,300,0.2
61,0.5485148514851486,0.294755877034358,0.237956204379562,0.2633279483037157,0.4689230747942561,163,390,945,522,6.6354522705078125,10,3,0.1,100,0.2
62,0.5455445544554456,0.2945326278659612,0.2437956204379562,0.2667731629392972,0.4687524351281852,167,400,935,518,12.289128065109251,10,3,0.1,300,0.2
63,0.5440594059405941,0.2885304659498208,0.2350364963503649,0.2590506838294449,0.4648846554649548,161,397,938,524,9.630889177322388,10,3,0.01,100,0.2
64,0.5311881188118812,0.2859477124183006,0.2554744525547445,0.2698535080956052,0.4623055364028883,175,437,898,510,24.120378971099854,10,3,0.01,300,0.2
65,0.635650623885918,0.4277456647398844,0.3210412147505423,0.3667905824039653,0.5555174133241048,296,396,1487,626,2.7580602169036865,2,1,0.1,100,0.3
66,0.6342245989304813,0.4291553133514986,0.3416485900216919,0.3804347826086957,0.5604753579204329,315,419,1464,607,4.958726406097412,2,1,0.1,300,0.3
67,0.7065953654188948,0.6,0.3221258134490238,0.4191954834156669,0.6114579849704139,297,198,1685,625,2.55031967163086,2,1,0.01,100,0.3
68,0.6463458110516934,0.4449685534591195,0.306941431670282,0.3632862644415918,0.5592344451526814,283,353,1530,639,4.67989444732666,2,1,0.01,300,0.3
69,0.6288770053475936,0.4153627311522048,0.316702819956616,0.3593846153846154,0.5490775021716051,292,411,1472,630,3.0878422260284424,2,3,0.1,100,0.3
70,0.6452762923351159,0.4470246734397677,0.334056399132321,0.3823711980136561,0.5667794974814468,308,381,1502,614,4.882273197174072,2,3,0.1,300,0.3
71,0.7065953654188948,0.6,0.3221258134490238,0.4191954834156669,0.6114579849704139,297,198,1685,625,2.0808143615722656,2,3,0.01,100,0.3
72,0.6470588235294118,0.4462025316455696,0.3058568329718004,0.3629343629343629,0.5594257613488383,282,350,1533,640,4.087604761123657,2,3,0.01,300,0.3
73,0.6327985739750446,0.4295039164490861,0.3568329718004338,0.3898104265402843,0.5635946574312845,329,437,1446,593,2.9885811805725098,4,1,0.1,100,0.3
